mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator,param_learning_rate,param_loss,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.1283668518066405,0.18559386016746243,0.057572555541992185,0.00595603504659557,,1,linear,50,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'linear', 'n_estimators': 50}",-0.6004022015458343,-1.1768806871993207,-0.8002858397237154,-0.7035821112274057,-1.1651813499034196,-0.8892664379199392,0.23861674632515043,9
3.5743096828460694,0.8534616743128342,0.10061311721801758,0.027320282296985545,,1,linear,100,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'linear', 'n_estimators': 100}",-0.6004022015458343,-1.5214401523977505,-1.422332441823317,-0.9313651164282182,-1.9043401064235468,-1.2759760037237333,0.4586220506366662,11
5.027116584777832,1.5962727685292695,0.1693889617919922,0.058796440911115286,,1,linear,150,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'linear', 'n_estimators': 150}",-0.6004022015458343,-1.5292410705069157,-1.5509104190920624,-1.0703460587426128,-1.9410508293834368,-1.3383901158541724,0.46070873228750203,13
6.811877727508545,2.5136289454776213,0.22475666999816896,0.09604801035164721,,1,linear,200,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'linear', 'n_estimators': 200}",-0.6004022015458343,-1.5611856557772885,-1.5248614598697308,-1.034312841757946,-1.9730847825457376,-1.3387693882993075,0.47420146894001564,14
1.938513994216919,0.1045232842127608,0.062078666687011716,0.007704697030264418,,1,square,50,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'square', 'n_estimators': 50}",-0.12243041835638735,-0.06856070066109954,0.08925670332494506,0.08427209067212127,0.06085430893636756,0.008678396783189402,0.08727542085975744,1
4.009098196029663,0.2089723173616182,0.13853168487548828,0.004440106336854848,,1,square,100,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'square', 'n_estimators': 100}",-0.10502509602922028,-0.29293809674859395,-0.046267023312157374,0.035182796113047976,-0.061089617853929745,-0.09402740756617067,0.10931389706034715,2
5.916746473312378,0.2618077141555489,0.18178095817565917,0.008759788728237766,,1,square,150,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'square', 'n_estimators': 150}",-0.09167410629189998,-0.3010044585568703,-0.12712409359335797,-0.002346056636954419,-0.1118673986655836,-0.12680322274893324,0.0972552244106573,3
7.541351938247681,0.4729269933226311,0.22842164039611818,0.004918630134158375,,1,square,200,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'square', 'n_estimators': 200}",-0.11932419451184684,-0.2880888570932152,-0.11644453138946664,-0.01693407843981598,-0.20241985626780346,-0.14864230354042962,0.09119284081850555,4
2.6763678073883055,0.026785966230452825,0.06310396194458008,0.0038943149165399206,,1,exponential,50,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 50}",-0.9825509442271789,-1.1946071340435354,-0.9944725571284674,-1.1294305826804703,-1.0216029747602207,-1.0645328385679744,0.08319072878151158,10
4.565881061553955,0.05062974254417355,0.11512060165405273,0.00307246602421892,,1,exponential,100,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 100}",-1.291842740914324,-2.4459131786839405,-2.15730243322919,-1.4228811722357069,-2.6506665464502452,-1.9937212143026812,0.5442986868071488,18
