year,month,inflation_rate
2021,1,0.014
2021,2,0.017
2021,3,0.026
2021,4,0.042
2021,5,0.050
2021,6,0.054
2021,7,0.054
2021,8,0.053
2021,9,0.054
2021,10,0.062
2021,11,0.068
2020,1,0.025
2020,2,0.023
2020,3,0.015
2020,4,0.003
2020,5,0.001
2020,6,0.006
2020,7,0.010
2020,8,0.013
2020,9,0.014
2020,10,0.012
2020,11,0.012
2020,12,0.014
2019,1,0.016
2019,2,0.015
2019,3,0.019
2019,4,0.020
2019,5,0.018
2019,6,0.016
2019,7,0.018
2019,8,0.018
2019,9,0.017
2019,10,0.018
2019,11,0.021
2019,12,0.023
2018,1,0.021
2018,2,0.022
2018,3,0.024
2018,4,0.025
2018,5,0.028
2018,6,0.029
2018,7,0.030
2018,8,0.027
2018,9,0.023
2018,10,0.025
2018,11,0.022
2018,12,0.019
