state,2018_sat_participation_rate,2018_sat_ebrw,2018_sat_math,2018_sat_total,2019_sat_participation_rate,2019_sat_ebrw,2019_sat_math,2019_sat_total
Alabama,6.0,595.0,571.0,1166.0,7.0,583,560,1143
Alaska,43.0,562.0,544.0,1106.0,41.0,556,541,1097
Arizona,29.0,577.0,572.0,1149.0,31.0,569,565,1134
Arkansas,5.0,592.0,576.0,1169.0,6.0,582,559,1141
California,60.0,540.0,536.0,1076.0,63.0,534,531,1065
Colorado,100.0,519.0,506.0,1025.0,100.0,518,506,1024
Connecticut,100.0,535.0,519.0,1053.0,100.0,529,516,1046
Delaware,100.0,505.0,492.0,998.0,100.0,499,486,985
District of Columbia,92.0,497.0,480.0,977.0,94.0,495,480,975
Florida,56.0,550.0,549.0,1099.0,100.0,516,483,999
Georgia,70.0,542.0,522.0,1064.0,71.0,538,519,1058
Hawaii,56.0,480.0,530.0,1010.0,54.0,550,550,1100
Idaho,100.0,508.0,493.0,1001.0,100.0,505,488,993
Illinois,99.0,513.0,506.0,1019.0,100.0,509,504,1013
Indiana,63.0,542.0,532.0,1074.0,66.0,543,537,1080
Iowa,3.0,634.0,631.0,1265.0,3.0,622,622,1244
Kansas,4.0,633.0,631.0,1265.0,4.0,618,623,1241
Kentucky,4.0,630.0,618.0,1248.0,4.0,620,612,1232
Louisiana,4.0,615.0,595.0,1210.0,5.0,610,591,1200
Maine,99.0,512.0,501.0,1013.0,99.0,512,502,1013
Maryland,76.0,545.0,535.0,1080.0,82.0,535,523,1058
Massachusetts,80.0,562.0,563.0,1125.0,81.0,559,561,1120
Michigan,100.0,511.0,499.0,1011.0,100.0,507,496,1003
Minnesota,4.0,643.0,655.0,1298.0,4.0,636,648,1284
Mississippi,3.0,630.0,606.0,1236.0,3.0,628,608,1237
Missouri,4.0,633.0,629.0,1262.0,4.0,622,615,1236
Montana,10.0,606.0,592.0,1198.0,9.0,603,596,1199
Nebraska,3.0,629.0,623.0,1252.0,3.0,628,631,1260
Nevada,23.0,574.0,566.0,1140.0,20.0,580,576,1156
New Hampshire,96.0,535.0,528.0,1063.0,95.0,533,526,1059
New Jersey,82.0,547.0,547.0,1094.0,82.0,544,545,1090
New Mexico,16.0,552.0,540.0,1093.0,18.0,543,530,1073
New York,79.0,534.0,534.0,1068.0,79.0,531,533,1064
North Carolina,52.0,554.0,543.0,1098.0,51.0,554,546,1100
North Dakota,2.0,640.0,643.0,1283.0,2.0,627,636,1263
Oklahoma,8.0,541.0,521.0,1062.0,22.0,490,472,963
Ohio,18.0,552.0,547.0,1099.0,19.0,550,548,1097
Oregon,48.0,564.0,553.0,1117.0,51.0,562,550,1112
Pennsylvania,70.0,547.0,539.0,1086.0,70.0,545,537,1082
Rhode Island,97.0,513.0,505.0,1018.0,100.0,503,492,995
South Carolina,55.0,547.0,523.0,1070.0,68.0,526,504,1030
South Dakota,3.0,622.0,618.0,1240.0,3.0,633,635,1268
Tennessee,6.0,624.0,607.0,1231.0,7.0,618,602,1220
Texas,66.0,520.0,512.0,1032.0,68.0,515,507,1022
Utah,4.0,480.0,530.0,1010.0,4.0,614,615,1230
Vermont,64.0,565.0,554.0,1120.0,66.0,560,546,1106
Virginia,68.0,567.0,550.0,1117.0,68.0,567,551,1119
Washington,69.0,543.0,538.0,1081.0,70.0,539,535,1074
West Virginia,28.0,513.0,486.0,999.0,99.0,483,460,943
Wisconsin,3.0,641.0,653.0,1294.0,3.0,635,648,1283
Wyoming,3.0,633.0,625.0,1257.0,3.0,623,615,1238
Puerto Rico,,,,,1.0,483,462,944
Virgin Islands,,,,,1.0,490,445,935
