,State,Year,Month,Employed,Unemployed
0,Alabama,1976,1,1392154,100255
1,Alaska,1976,1,147809,11345
2,Arizona,1976,1,872738,99675
3,Arkansas,1976,1,817756,65079
4,California,1976,1,8892663,889057
5,Colorado,1976,1,1164563,67771
6,Connecticut,1976,1,1302422,141184
7,Delaware,1976,1,242382,20306
8,District of Columbia,1976,1,308820,30558
9,Florida,1976,1,3248523,343626
10,Georgia,1976,1,2061744,188707
11,Hawaii,1976,1,367414,41455
12,Idaho,1976,1,346216,19957
13,Illinois,1976,1,4788469,345022
14,Indiana,1976,1,2260951,158010
15,Iowa,1976,1,1269103,55524
16,Kansas,1976,1,1015585,45470
17,Kentucky,1976,1,1406646,82995
18,Louisiana,1976,1,1417816,96011
19,Maine,1976,1,433990,41649
20,Maryland,1976,1,1781850,123711
21,Massachusetts,1976,1,2435124,280037
22,Michigan,1976,1,3568988,390263
23,Minnesota,1976,1,1722777,110020
24,Mississippi,1976,1,896774,64341
25,Missouri,1976,1,1963951,124863
26,Montana,1976,1,308066,19210
27,Nebraska,1976,1,692137,23615
28,Nevada,1976,1,293574,28843
29,New Hampshire,1976,1,364963,26622
30,New Jersey,1976,1,2944762,336337
31,New Mexico,1976,1,432875,42129
32,New York,1976,1,6896554,790611
33,North Carolina,1976,1,2428430,167899
34,North Dakota,1976,1,266394,9215
35,Ohio,1976,1,4371860,384249
36,Oklahoma,1976,1,1110620,70205
37,Oregon,1976,1,969974,104177
38,Pennsylvania,1976,1,4693332,412216
39,Rhode Island,1976,1,399599,35361
40,South Carolina,1976,1,1195062,97754
41,South Dakota,1976,1,298900,9835
42,Tennessee,1976,1,1710143,109701
43,Texas,1976,1,5298778,329209
44,Utah,1976,1,489265,30233
45,Vermont,1976,1,195099,18568
46,Virginia,1976,1,2190847,137698
47,Washington,1976,1,1446319,138369
48,West Virginia,1976,1,647491,55109
49,Wisconsin,1976,1,2003102,122213
50,Wyoming,1976,1,168592,7284
51,Alabama,1976,2,1391975,99845
52,Alaska,1976,2,147666,11295
53,Arizona,1976,2,871997,99756
54,Arkansas,1976,2,817132,65184
55,California,1976,2,8888464,887484
56,Colorado,1976,2,1164631,67478
57,Connecticut,1976,2,1301572,141186
58,Delaware,1976,2,242420,20172
59,District of Columbia,1976,2,308976,30563
60,Florida,1976,2,3247280,344109
61,Georgia,1976,2,2060612,188798
62,Hawaii,1976,2,367268,41637
63,Idaho,1976,2,345965,19921
64,Illinois,1976,2,4787725,344341
65,Indiana,1976,2,2259666,158368
66,Iowa,1976,2,1268472,55662
67,Kansas,1976,2,1015127,45457
68,Kentucky,1976,2,1406247,82952
69,Louisiana,1976,2,1417468,95558
70,Maine,1976,2,433930,41665
71,Maryland,1976,2,1781465,123374
72,Massachusetts,1976,2,2434220,280754
73,Michigan,1976,2,3566516,391232
74,Minnesota,1976,2,1722014,109987
75,Mississippi,1976,2,896491,64195
76,Missouri,1976,2,1962686,124619
77,Montana,1976,2,308039,19163
78,Nebraska,1976,2,691996,23581
79,Nevada,1976,2,293280,28866
80,New Hampshire,1976,2,364669,26654
81,New Jersey,1976,2,2944167,335930
82,New Mexico,1976,2,432640,42191
83,New York,1976,2,6895390,789362
84,North Carolina,1976,2,2427272,168083
85,North Dakota,1976,2,266304,9164
86,Ohio,1976,2,4371539,385068
87,Oklahoma,1976,2,1110306,70173
88,Oregon,1976,2,969351,104095
89,Pennsylvania,1976,2,4691940,412910
90,Rhode Island,1976,2,399553,35354
91,South Carolina,1976,2,1194788,97652
92,South Dakota,1976,2,298906,9821
93,Tennessee,1976,2,1708651,109437
94,Texas,1976,2,5295497,329326
95,Utah,1976,2,488892,30232
96,Vermont,1976,2,194960,18594
97,Virginia,1976,2,2190461,137439
98,Washington,1976,2,1445338,138012
99,West Virginia,1976,2,647556,55246
