state,year,month,employed,unemployed,employment_rate,year_month
Alabama,1976,1,1392154,100255,0.9328233748255338,1976-01
Alaska,1976,1,147809,11345,0.9287168402930495,1976-01
Arizona,1976,1,872738,99675,0.8974972568240038,1976-01
Arkansas,1976,1,817756,65079,0.926284073467862,1976-01
California,1976,1,8892663,889057,0.9091103609590133,1976-01
Colorado,1976,1,1164563,67771,0.9450059805215144,1976-01
Connecticut,1976,1,1302422,141184,0.9022004618988838,1976-01
Delaware,1976,1,242382,20306,0.922699171640882,1976-01
District of Columbia,1976,1,308820,30558,0.9099588069939714,1976-01
Florida,1976,1,3248523,343626,0.90433971419337,1976-01
Georgia,1976,1,2061744,188707,0.916147030084192,1976-01
Hawaii,1976,1,367414,41455,0.8986105574157004,1976-01
Idaho,1976,1,346216,19957,0.9454984392623159,1976-01
Illinois,1976,1,4788469,345022,0.932789986385483,1976-01
Indiana,1976,1,2260951,158010,0.9346785665415854,1976-01
Iowa,1976,1,1269103,55524,0.9580832943915533,1976-01
Kansas,1976,1,1015585,45470,0.9571464250203806,1976-01
Kentucky,1976,1,1406646,82995,0.944285233824794,1976-01
Louisiana,1976,1,1417816,96011,0.9365772971416153,1976-01
Maine,1976,1,433990,41649,0.9124356917746442,1976-01
Maryland,1976,1,1781850,123711,0.935078960998887,1976-01
Massachusetts,1976,1,2435124,280037,0.8968617330611334,1976-01
Michigan,1976,1,3568988,390263,0.9014300937222722,1976-01
Minnesota,1976,1,1722777,110020,0.9399715298530061,1976-01
Mississippi,1976,1,896774,64341,0.9330558778085869,1976-01
Missouri,1976,1,1963951,124863,0.9402230165060173,1976-01
Montana,1976,1,308066,19210,0.9413033647441303,1976-01
Nebraska,1976,1,692137,23615,0.9670067285875554,1976-01
Nevada,1976,1,293574,28843,0.9105413176104238,1976-01
New Hampshire,1976,1,364963,26622,0.9320147605245349,1976-01
New Jersey,1976,1,2944762,336337,0.8974925779441584,1976-01
New Mexico,1976,1,432875,42129,0.9113081153000817,1976-01
New York,1976,1,6896554,790611,0.8971518108431392,1976-01
North Carolina,1976,1,2428430,167899,0.9353321555165004,1976-01
North Dakota,1976,1,266394,9215,0.9665649525233211,1976-01
Ohio,1976,1,4371860,384249,0.919209378927186,1976-01
Oklahoma,1976,1,1110620,70205,0.9405458048398365,1976-01
Oregon,1976,1,969974,104177,0.9030145668532636,1976-01
Pennsylvania,1976,1,4693332,412216,0.9192611645214187,1976-01
Rhode Island,1976,1,399599,35361,0.9187028692293544,1976-01
South Carolina,1976,1,1195062,97754,0.9243867650152845,1976-01
South Dakota,1976,1,298900,9835,0.9681442013377168,1976-01
Tennessee,1976,1,1710143,109701,0.9397195583797292,1976-01
Texas,1976,1,5298778,329209,0.9415050176910501,1976-01
Utah,1976,1,489265,30233,0.9418034333144689,1976-01
Vermont,1976,1,195099,18568,0.9130984195032457,1976-01
Virginia,1976,1,2190847,137698,0.9408652184089206,1976-01
Washington,1976,1,1446319,138369,0.9126837585695102,1976-01
West Virginia,1976,1,647491,55109,0.9215641901508682,1976-01
Wisconsin,1976,1,2003102,122213,0.942496524044671,1976-01
Wyoming,1976,1,168592,7284,0.9585844572312311,1976-01
Alabama,1976,2,1391975,99845,0.9330716842514513,1976-02
Alaska,1976,2,147666,11295,0.928944835525695,1976-02
Arizona,1976,2,871997,99756,0.8973442839898617,1976-02
Arkansas,1976,2,817132,65184,0.9261217069621315,1976-02
California,1976,2,8888464,887484,0.9092176022212884,1976-02
Colorado,1976,2,1164631,67478,0.9452337414952735,1976-02
Connecticut,1976,2,1301572,141186,0.902141592699538,1976-02
Delaware,1976,2,242420,20172,0.9231812088715574,1976-02
District of Columbia,1976,2,308976,30563,0.9099867761877133,1976-02
Florida,1976,2,3247280,344109,0.9041849824677861,1976-02
Georgia,1976,2,2060612,188798,0.9160677688816179,1976-02
Hawaii,1976,2,367268,41637,0.8981743925850748,1976-02
Idaho,1976,2,345965,19921,0.9455540796860225,1976-02
Illinois,1976,2,4787725,344341,0.9329040195508008,1976-02
Indiana,1976,2,2259666,158368,0.9345054701464082,1976-02
Iowa,1976,2,1268472,55662,0.9579634689540485,1976-02
Kansas,1976,2,1015127,45457,0.9571396513618912,1976-02
Kentucky,1976,2,1406247,82952,0.9442975720504782,1976-02
Louisiana,1976,2,1417468,95558,0.936843121003869,1976-02
Maine,1976,2,433930,41665,0.9123939486327652,1976-02
Maryland,1976,2,1781465,123374,0.9352312715142854,1976-02
Massachusetts,1976,2,2434220,280754,0.8965905382519317,1976-02
Michigan,1976,2,3566516,391232,0.9011478244698753,1976-02
Minnesota,1976,2,1722014,109987,0.939963460718635,1976-02
Mississippi,1976,2,896491,64195,0.9331779582506667,1976-02
Missouri,1976,2,1962686,124619,0.9402966983742194,1976-02
Montana,1976,2,308039,19163,0.9414337320676524,1976-02
Nebraska,1976,2,691996,23581,0.9670461739267752,1976-02
Nevada,1976,2,293280,28866,0.910394665772662,1976-02
New Hampshire,1976,2,364669,26654,0.9318874689195371,1976-02
New Jersey,1976,2,2944167,335930,0.8975853457992249,1976-02
New Mexico,1976,2,432640,42191,0.9111452285128814,1976-02
New York,1976,2,6895390,789362,0.8972820463171746,1976-02
North Carolina,1976,2,2427272,168083,0.9352369907006941,1976-02
North Dakota,1976,2,266304,9164,0.9667329780591575,1976-02
Ohio,1976,2,4371539,385068,0.9190456558635178,1976-02
Oklahoma,1976,2,1110306,70173,0.9405554863745987,1976-02
Oregon,1976,2,969351,104095,0.9030272598714794,1976-02
Pennsylvania,1976,2,4691940,412910,0.9191141757348404,1976-02
Rhode Island,1976,2,399553,35354,0.9187090573386953,1976-02
South Carolina,1976,2,1194788,97652,0.9244436879081427,1976-02
South Dakota,1976,2,298906,9821,0.9681887233704859,1976-02
Tennessee,1976,2,1708651,109437,0.9398065440176713,1976-02
Texas,1976,2,5295497,329326,0.941451313223545,1976-02
Utah,1976,2,488892,30232,0.9417634322435487,1976-02
Vermont,1976,2,194960,18594,0.912930687320303,1976-02
Virginia,1976,2,2190461,137439,0.9409600927874908,1976-02
Washington,1976,2,1445338,138012,0.9128354438374333,1976-02
West Virginia,1976,2,647556,55246,0.9213918002509953,1976-02
Wisconsin,1976,2,2002200,122256,0.942453032682249,1976-02
Wyoming,1976,2,168416,7289,0.9585156939187843,1976-02
Alabama,1976,3,1392137,98463,0.9339440493760902,1976-03
Alaska,1976,3,147858,11209,0.9295328383637084,1976-03
Arizona,1976,3,872637,99330,0.8978051723978283,1976-03
Arkansas,1976,3,816687,65178,0.9260907281726795,1976-03
California,1976,3,8892402,882881,0.9096823079188603,1976-03
Colorado,1976,3,1164628,66911,0.9456687932741066,1976-03
Connecticut,1976,3,1301890,140931,0.9023226027345042,1976-03
Delaware,1976,3,242340,20256,0.9228624960014623,1976-03
District of Columbia,1976,3,309128,30389,0.9104934362638689,1976-03
Florida,1976,3,3249159,342474,0.9046467164100563,1976-03
Georgia,1976,3,2061445,188045,0.916405496356952,1976-03
Hawaii,1976,3,367467,41798,0.8978705728562179,1976-03
Idaho,1976,3,346021,19979,0.945412568306011,1976-03
Illinois,1976,3,4789790,342028,0.9333514945385826,1976-03
Indiana,1976,3,2260937,157072,0.9350407711468403,1976-03
Iowa,1976,3,1268901,55527,0.958074731129212,1976-03
Kansas,1976,3,1015396,45441,0.9571649555963828,1976-03
Kentucky,1976,3,1406193,82685,0.9444648923551829,1976-03
Louisiana,1976,3,1417499,95594,0.9368221252758423,1976-03
Maine,1976,3,434134,41563,0.9126271555212667,1976-03
Maryland,1976,3,1781135,123042,0.9353831077678179,1976-03
Massachusetts,1976,3,2435324,280326,0.8967738847053192,1976-03
Michigan,1976,3,3567979,391615,0.9010971831960549,1976-03
Minnesota,1976,3,1722985,108884,0.9405612519235819,1976-03
Mississippi,1976,3,897614,63317,0.9341086925075786,1976-03
Missouri,1976,3,1963435,124561,0.940344234375928,1976-03
Montana,1976,3,308017,19114,0.9415708080249197,1976-03
Nebraska,1976,3,692073,23346,0.9673673749229472,1976-03
Nevada,1976,3,293456,28871,0.9104294706928058,1976-03
New Hampshire,1976,3,364765,26648,0.9319184595299594,1976-03
New Jersey,1976,3,2945972,336227,0.8975604465177157,1976-03
New Mexico,1976,3,432733,42376,0.9108078356756029,1976-03
New York,1976,3,6897998,786483,0.8976530750742958,1976-03
North Carolina,1976,3,2428876,166836,0.9357263055377484,1976-03
North Dakota,1976,3,266363,9168,0.9667260671213039,1976-03
Ohio,1976,3,4372663,385159,0.9190472026906429,1976-03
Oklahoma,1976,3,1110496,69960,0.9407347669036372,1976-03
Oregon,1976,3,969546,103143,0.9038463151948049,1976-03
Pennsylvania,1976,3,4691831,414888,0.9187564461643571,1976-03
Rhode Island,1976,3,399726,35306,0.9188427517975689,1976-03
South Carolina,1976,3,1195034,96652,0.9251737651410636,1976-03
South Dakota,1976,3,299010,9694,0.9685977505960403,1976-03
Tennessee,1976,3,1709613,108578,0.9402824015738721,1976-03
Texas,1976,3,5299209,330249,0.9413355601906969,1976-03
Utah,1976,3,489008,30106,0.9420050316500808,1976-03
Vermont,1976,3,194978,18632,0.9127756191189551,1976-03
Virginia,1976,3,2191511,136696,0.9412870075555997,1976-03
Washington,1976,3,1445169,137507,0.9131174036884365,1976-03
West Virginia,1976,3,647481,55482,0.9210740821351906,1976-03
Wisconsin,1976,3,2002973,121637,0.9427485514988633,1976-03
Wyoming,1976,3,168487,7295,0.9584997326233631,1976-03
Alabama,1976,4,1393177,96770,0.935051381022278,1976-04
Alaska,1976,4,148970,11222,0.9299465641230523,1976-04
Arizona,1976,4,877217,97721,0.8997669595399913,1976-04
Arkansas,1976,4,818130,64562,0.9268578394275693,1976-04
California,1976,4,8918330,877506,0.9104205092857822,1976-04
Colorado,1976,4,1164119,66892,0.9456609242321962,1976-04
Connecticut,1976,4,1306078,140109,0.9031183380849088,1976-04
Delaware,1976,4,241923,21066,0.9198977904018799,1976-04
District of Columbia,1976,4,308673,29936,0.9115912453596922,1976-04
Florida,1976,4,3258015,335999,0.9065114938339138,1976-04
Georgia,1976,4,2067967,185644,0.9176237602674109,1976-04
Hawaii,1976,4,368550,41389,0.8990361980684931,1976-04
Idaho,1976,4,347164,20275,0.9448207729718402,1976-04
Illinois,1976,4,4796640,338510,0.9340798224005141,1976-04
Indiana,1976,4,2269249,151786,0.9373053260279178,1976-04
Iowa,1976,4,1272547,54663,0.9588136014647267,1976-04
Kansas,1976,4,1017765,45403,0.9572946138333734,1976-04
Kentucky,1976,4,1407354,82143,0.9448518526724122,1976-04
Louisiana,1976,4,1418904,97419,0.9357531343915512,1976-04
Maine,1976,4,434823,41213,0.9134246149450882,1976-04
Maryland,1976,4,1781610,123897,0.9349795093904142,1976-04
Massachusetts,1976,4,2441683,275844,0.8984944767798075,1976-04
Michigan,1976,4,3580904,388545,0.9021161375294153,1976-04
Minnesota,1976,4,1728543,106321,0.9420551059915068,1976-04
Mississippi,1976,4,901513,61652,0.9359901989794064,1976-04
Missouri,1976,4,1970155,125791,0.9399836637012595,1976-04
Montana,1976,4,308014,19152,0.9414609097522358,1976-04
Nebraska,1976,4,692831,22874,0.9680399047093425,1976-04
Nevada,1976,4,295160,28769,0.9111873280873278,1976-04
New Hampshire,1976,4,366173,26484,0.9325518200363166,1976-04
New Jersey,1976,4,2952460,338429,0.8971618307393534,1976-04
New Mexico,1976,4,433984,42587,0.9106387086079514,1976-04
New York,1976,4,6906874,783061,0.8981706607403054,1976-04
North Carolina,1976,4,2436634,162649,0.9374254361683587,1976-04
North Dakota,1976,4,266864,9402,0.9659675819681032,1976-04
Ohio,1976,4,4376405,381028,0.9199089088590423,1976-04
Oklahoma,1976,4,1112144,69363,0.9412927727046898,1976-04
Oregon,1976,4,972719,101016,0.9059209208976144,1976-04
Pennsylvania,1976,4,4696196,416760,0.9184894217748011,1976-04
Rhode Island,1976,4,400273,35196,0.9191767955927976,1976-04
South Carolina,1976,4,1196768,94237,0.9270049302675047,1976-04
South Dakota,1976,4,299231,9487,0.9692696894900849,1976-04
Tennessee,1976,4,1718077,107543,0.9410923412320198,1976-04
Texas,1976,4,5321425,331948,0.9412831950058841,1976-04
Utah,1976,4,490860,29749,0.9428573074994862,1976-04
Vermont,1976,4,195593,18618,0.9130856958792966,1976-04
Virginia,1976,4,2195231,135688,0.9417877669708814,1976-04
Washington,1976,4,1448989,137719,0.9132045719817383,1976-04
West Virginia,1976,4,646833,55369,0.9211494698106812,1976-04
Wisconsin,1976,4,2008413,119650,0.9437751607917623,1976-04
Wyoming,1976,4,169387,7280,0.958792530580131,1976-04
Alabama,1976,5,1394591,96018,0.9355847173873229,1976-05
Alaska,1976,5,150449,11365,0.9297650388717911,1976-05
Arizona,1976,5,883408,95873,0.9020985804891548,1976-05
Arkansas,1976,5,821026,63630,0.9280737371362427,1976-05
California,1976,5,8953226,875674,0.9109082399861632,1976-05
Colorado,1976,5,1163412,67638,0.945056658949677,1976-05
Connecticut,1976,5,1312227,139241,0.9040688461612657,1976-05
Delaware,1976,5,241399,22186,0.9158298082212569,1976-05
District of Columbia,1976,5,307776,29477,0.9125967745283214,1976-05
Florida,1976,5,3269479,328392,0.9087260215833197,1976-05
Georgia,1976,5,2077016,182933,0.9190543680410487,1976-05
Hawaii,1976,5,369908,40587,0.9011266885102133,1976-05
Idaho,1976,5,348876,20624,0.9441840324763193,1976-05
Illinois,1976,5,4804591,336736,0.9345040686966614,1976-05
Indiana,1976,5,2280665,145625,0.9399803815702162,1976-05
Iowa,1976,5,1277629,53497,0.9598107166413998,1976-05
Kansas,1976,5,1021136,45323,0.9575014135564518,1976-05
Kentucky,1976,5,1409389,81547,0.9453048286445561,1976-05
Louisiana,1976,5,1421200,100292,0.9340831236707127,1976-05
Maine,1976,5,435607,40801,0.9143570217124818,1976-05
Maryland,1976,5,1783003,125472,0.9342553609557369,1976-05
Massachusetts,1976,5,2450016,269611,0.9008647141685239,1976-05
Michigan,1976,5,3599367,383039,0.9038171899098183,1976-05
Minnesota,1976,5,1735701,103990,0.9434742030047437,1976-05
Mississippi,1976,5,905971,60324,0.9375718595253002,1976-05
Missouri,1976,5,1979762,127664,0.9394218349778355,1976-05
Montana,1976,5,308035,19261,0.9411511292530309,1976-05
Nebraska,1976,5,693887,22469,0.968634310314983,1976-05
Nevada,1976,5,297525,28627,0.9122280409134391,1976-05
New Hampshire,1976,5,368258,26233,0.9335016514952179,1976-05
New Jersey,1976,5,2960089,341172,0.8966540361395237,1976-05
New Mexico,1976,5,435737,42663,0.9108214882943144,1976-05
New York,1976,5,6917563,782348,0.8983951892430965,1976-05
North Carolina,1976,5,2446767,158100,0.9393059223369178,1976-05
North Dakota,1976,5,267566,9746,0.9648554696515117,1976-05
Ohio,1976,5,4380800,374523,0.9212413121043512,1976-05
Oklahoma,1976,5,1114483,68764,0.941885337549979,1976-05
Oregon,1976,5,977331,99051,0.9079778368646075,1976-05
Pennsylvania,1976,5,4703981,416223,0.9187096842235192,1976-05
Rhode Island,1976,5,400890,35076,0.9195441846382516,1976-05
South Carolina,1976,5,1199126,91990,0.9287515606653469,1976-05
South Dakota,1976,5,299427,9337,0.9697600756564885,1976-05
Tennessee,1976,5,1729974,107119,0.9416910303397814,1976-05
Texas,1976,5,5350734,333318,0.9413590867923094,1976-05
Utah,1976,5,493574,29378,0.9438227600238646,1976-05
Vermont,1976,5,196524,18529,0.9138398441314467,1976-05
Virginia,1976,5,2199661,135284,0.9420611620402194,1976-05
Washington,1976,5,1455187,138704,0.9129777381263838,1976-05
West Virginia,1976,5,646032,54715,0.9219190378267763,1976-05
Wisconsin,1976,5,2015918,117500,0.944924060826336,1976-05
Wyoming,1976,5,170664,7245,0.9592769337133029,1976-05
Alabama,1976,6,1396510,96760,0.9352026090392227,1976-06
Alaska,1976,6,152003,11683,0.9286255391420158,1976-06
Arizona,1976,6,890022,94232,0.9042604856063577,1976-06
Arkansas,1976,6,825275,62451,0.929650590384871,1976-06
California,1976,6,8990510,879992,0.9108462771194413,1976-06
Colorado,1976,6,1163342,69226,0.9438359587462923,1976-06
Connecticut,1976,6,1319292,138166,0.9052006987508388,1976-06
Delaware,1976,6,240938,23384,0.9115321463971974,1976-06
District of Columbia,1976,6,306449,29208,0.9129825983072005,1976-06
Florida,1976,6,3280804,321634,0.9107176861891864,1976-06
Georgia,1976,6,2087124,180866,0.920252734800418,1976-06
Hawaii,1976,6,371272,39507,0.903824197439499,1976-06
Idaho,1976,6,350995,20926,0.9437353631550787,1976-06
Illinois,1976,6,4811721,337010,0.9345450364371337,1976-06
Indiana,1976,6,2292942,140801,0.9421463153669061,1976-06
Iowa,1976,6,1283290,52370,0.9607909198448707,1976-06
